ParkCode,ParkName,State,Acres,Latitude,Longitude
ACAD,CHIMANIMANI NATIONAL PARK ,Manicaland,801163,-19.91667,33.01667
ARCH,CHIZARIRA NATIONAL PARK,Matabeleland North,172924, -17.6742,27.8695
BADL,GONAREZHOU NATIONAL PARK,Masvingo,32950,-21.666664,31.666664
BIBE,HWANGE NATIONAL PARK,Matabeleland North,35835,-18.9106,27.1217
BISC,KAZUMA PAN NATIONAL PARK,Matabeleland North,337598,-18.3429,25.6154
BLCA,MANA POOLS NATIONAL PARK,Mashonaland West,241904,-15.8483,29.3674
BRCA,MATOBO NATIONAL PARK,Matabeleland,46766,-20.5424,28.5264
CANY,MATUSADONA NATIONAL PARK,Mahonaland West,249561,-16.9432,28.6265
CARE,NYANGA NATIONAL PARK,Manicaland,26546,-18.2847,32.7933
CAVE,VICTORIA FALLS NATIONAL PARK,Matabeleland North,183224,-17.9167,25.6667
CHIS,ZAMBEZI NATIONAL PARK,Matabeleland North,32950,-17.9782,25.7101
CONG,CHINHOYI CAVES RECREATIONAL PARK,Mashonaland West,3372402,-17.3577,30.1272
CRLA,DARWENDALE RECREATIONAL PARK,Mashonaland West,4740912,-17.7167,30.55
CUVA,LAKE CHIVERO RECREATIONAL PARK,Harare,64701,-17.9116,30.7875
DENA,LAKE KARIBA RECREATIONAL PARK,Mashonaland West,1508538,-16.9833,27.7842
DEVA,LAKE KYLE RECREATIONAL PARK,Masvingo,7523898,-20.2,31
DRTO,NGEZI RECREATIONAL PARK,Mashonaland West,1013572,-18.6831,30.4003
EVER,OSBORNE DAM RECREATIONAL PARK,Manicaland,3224840,-18.7664,32.4856
GAAR,SEBAKWE RECREATIONAL PARK,Midlands,77180,-19.1059,30.4696
GLAC,VUMBA BOTANICAL GARDEN,Manicaland,1217403,-19.1199,32.7768
